Result_num	GO_Category	GO_ID	GO_Term	Annotated	Significant	Expected	weight01Fisher	Tissue	Comparison	Expression
25	MF	GO:0043395	heparan sulfate proteoglycan binding	19	1	0.05	0.04731	spleen	both_bsal	down
26	MF	GO:0005537	mannose binding	19	1	0.05	0.04731	spleen	both_bsal	down
1	BP	GO:0035019	somatic stem cell population maintenance	24	2	0.02	9.90E-05	spleen	both_bsal	up
2	BP	GO:0000003	reproduction	896	2	0.57	0.0012	spleen	both_bsal	up
3	BP	GO:0044340	canonical Wnt signaling pathway involved...	6	1	0	0.0038	spleen	both_bsal	up
4	BP	GO:0014034	neural crest cell fate commitment	6	1	0	0.0038	spleen	both_bsal	up
5	BP	GO:1904338	regulation of dopaminergic neuron differ...	6	1	0	0.0038	spleen	both_bsal	up
6	BP	GO:0019800	peptide cross-linking via chondroitin 4-...	6	1	0	0.0038	spleen	both_bsal	up
7	BP	GO:0050924	positive regulation of negative chemotax...	6	1	0	0.0038	spleen	both_bsal	up
8	BP	GO:1900747	negative regulation of vascular endothel...	6	1	0	0.0038	spleen	both_bsal	up
9	BP	GO:0060525	prostate glandular acinus development	6	1	0	0.0038	spleen	both_bsal	up
10	BP	GO:0009267	cellular response to starvation	156	2	0.1	0.0042	spleen	both_bsal	up
11	BP	GO:0046851	negative regulation of bone remodeling	7	1	0	0.0045	spleen	both_bsal	up
12	BP	GO:1900122	positive regulation of receptor binding	7	1	0	0.0045	spleen	both_bsal	up
13	BP	GO:0033689	negative regulation of osteoblast prolif...	7	1	0	0.0045	spleen	both_bsal	up
14	BP	GO:0071504	cellular response to heparin	7	1	0	0.0045	spleen	both_bsal	up
15	BP	GO:0061469	regulation of type B pancreatic cell pro...	7	1	0	0.0045	spleen	both_bsal	up
16	BP	GO:0010510	regulation of acetyl-CoA biosynthetic pr...	7	1	0	0.0045	spleen	both_bsal	up
17	BP	GO:0051901	positive regulation of mitochondrial dep...	8	1	0.01	0.0051	spleen	both_bsal	up
18	BP	GO:2000271	positive regulation of fibroblast apopto...	8	1	0.01	0.0051	spleen	both_bsal	up
19	BP	GO:0071391	cellular response to estrogen stimulus	9	1	0.01	0.0057	spleen	both_bsal	up
20	BP	GO:0045672	positive regulation of osteoclast differ...	9	1	0.01	0.0057	spleen	both_bsal	up
21	BP	GO:0090244	Wnt signaling pathway involved in somito...	10	1	0.01	0.0064	spleen	both_bsal	up
22	BP	GO:0009950	dorsal/ventral axis specification	10	1	0.01	0.0064	spleen	both_bsal	up
23	BP	GO:0090245	axis elongation involved in somitogenesi...	11	1	0.01	0.007	spleen	both_bsal	up
24	BP	GO:0090141	positive regulation of mitochondrial fis...	11	1	0.01	0.007	spleen	both_bsal	up
25	BP	GO:0071380	cellular response to prostaglandin E sti...	11	1	0.01	0.007	spleen	both_bsal	up
26	BP	GO:1904948	midbrain dopaminergic neuron differentia...	11	1	0.01	0.007	spleen	both_bsal	up
27	BP	GO:0060766	negative regulation of androgen receptor...	12	1	0.01	0.0076	spleen	both_bsal	up
28	BP	GO:0060740	prostate gland epithelium morphogenesis	13	1	0.01	0.0083	spleen	both_bsal	up
29	BP	GO:0060027	convergent extension involved in gastrul...	13	1	0.01	0.0083	spleen	both_bsal	up
30	BP	GO:0071305	cellular response to vitamin D	13	1	0.01	0.0083	spleen	both_bsal	up
31	BP	GO:0043508	negative regulation of JUN kinase activi...	14	1	0.01	0.0089	spleen	both_bsal	up
32	BP	GO:2000270	negative regulation of fibroblast apopto...	14	1	0.01	0.0089	spleen	both_bsal	up
33	BP	GO:0071392	cellular response to estradiol stimulus	16	1	0.01	0.0102	spleen	both_bsal	up
34	BP	GO:0071481	cellular response to X-ray	17	1	0.01	0.0108	spleen	both_bsal	up
35	BP	GO:2000095	"regulation of Wnt signaling pathway, pla..."	17	1	0.01	0.0108	spleen	both_bsal	up
36	BP	GO:2000052	positive regulation of non-canonical Wnt...	18	1	0.01	0.0114	spleen	both_bsal	up
37	BP	GO:1902043	positive regulation of extrinsic apoptot...	18	1	0.01	0.0114	spleen	both_bsal	up
38	BP	GO:0090179	planar cell polarity pathway involved in...	18	1	0.01	0.0114	spleen	both_bsal	up
39	BP	GO:0050869	negative regulation of B cell activation	18	1	0.01	0.0114	spleen	both_bsal	up
40	BP	GO:0060346	bone trabecula formation	20	1	0.01	0.0127	spleen	both_bsal	up
41	BP	GO:0045671	negative regulation of osteoclast differ...	22	1	0.01	0.0139	spleen	both_bsal	up
42	BP	GO:0045620	negative regulation of lymphocyte differ...	24	1	0.02	0.0152	spleen	both_bsal	up
43	BP	GO:0010719	negative regulation of epithelial to mes...	24	1	0.02	0.0152	spleen	both_bsal	up
44	BP	GO:2000051	negative regulation of non-canonical Wnt...	25	1	0.02	0.0158	spleen	both_bsal	up
45	BP	GO:0046676	negative regulation of insulin secretion	25	1	0.02	0.0158	spleen	both_bsal	up
46	BP	GO:0048546	digestive tract morphogenesis	28	1	0.02	0.0177	spleen	both_bsal	up
47	BP	GO:2001238	positive regulation of extrinsic apoptot...	51	2	0.03	0.0186	spleen	both_bsal	up
48	BP	GO:0060218	hematopoietic stem cell differentiation	30	1	0.02	0.019	spleen	both_bsal	up
49	BP	GO:0031670	cellular response to nutrient	50	2	0.03	0.0191	spleen	both_bsal	up
50	BP	GO:1901653	cellular response to peptide	287	2	0.18	0.0195	spleen	both_bsal	up
51	BP	GO:0048147	negative regulation of fibroblast prolif...	31	1	0.02	0.0196	spleen	both_bsal	up
52	BP	GO:0045577	regulation of B cell differentiation	31	1	0.02	0.0196	spleen	both_bsal	up
53	BP	GO:0045668	negative regulation of osteoblast differ...	32	1	0.02	0.0202	spleen	both_bsal	up
54	BP	GO:0045880	positive regulation of smoothened signal...	34	1	0.02	0.0215	spleen	both_bsal	up
55	BP	GO:0060688	regulation of morphogenesis of a branchi...	37	1	0.02	0.0233	spleen	both_bsal	up
56	BP	GO:0030514	negative regulation of BMP signaling pat...	39	1	0.02	0.0246	spleen	both_bsal	up
57	BP	GO:0071560	cellular response to transforming growth...	202	2	0.13	0.0249	spleen	both_bsal	up
58	BP	GO:0050732	negative regulation of peptidyl-tyrosine...	40	1	0.03	0.0252	spleen	both_bsal	up
59	BP	GO:0051703	intraspecies interaction between organis...	42	1	0.03	0.0265	spleen	both_bsal	up
60	BP	GO:0010596	negative regulation of endothelial cell ...	46	1	0.03	0.029	spleen	both_bsal	up
61	BP	GO:0006111	regulation of gluconeogenesis	47	1	0.03	0.0296	spleen	both_bsal	up
62	BP	GO:0045600	positive regulation of fat cell differen...	48	1	0.03	0.0302	spleen	both_bsal	up
63	BP	GO:0014068	positive regulation of phosphatidylinosi...	51	1	0.03	0.0321	spleen	both_bsal	up
64	BP	GO:0120162	positive regulation of cold-induced ther...	58	1	0.04	0.0364	spleen	both_bsal	up
65	BP	GO:0042752	regulation of circadian rhythm	58	1	0.04	0.0364	spleen	both_bsal	up
66	BP	GO:0048519	negative regulation of biological proces...	4254	4	2.71	0.0375	spleen	both_bsal	up
67	BP	GO:0008585	female gonad development	66	1	0.04	0.0413	spleen	both_bsal	up
68	BP	GO:0072332	intrinsic apoptotic signaling pathway by...	66	1	0.04	0.0413	spleen	both_bsal	up
69	BP	GO:0010469	regulation of signaling receptor activit...	66	1	0.04	0.0413	spleen	both_bsal	up
70	BP	GO:0008584	male gonad development	68	1	0.04	0.0425	spleen	both_bsal	up
71	BP	GO:0044344	cellular response to fibroblast growth f...	72	1	0.05	0.045	spleen	both_bsal	up
72	BP	GO:0001657	ureteric bud development	72	1	0.05	0.045	spleen	both_bsal	up
73	BP	GO:0071347	cellular response to interleukin-1	75	1	0.05	0.0468	spleen	both_bsal	up
1	CC	GO:0045254	pyruvate dehydrogenase complex	9	1	0.01	0.0064	spleen	both_bsal	up
2	CC	GO:0005576	extracellular region	2151	5	1.53	0.0201	spleen	both_bsal	up
3	CC	GO:0062023	collagen-containing extracellular matrix	343	2	0.24	0.0236	spleen	both_bsal	up
4	CC	GO:0009986	cell surface	462	2	0.33	0.041	spleen	both_bsal	up
1	MF	GO:0004197	cysteine-type endopeptidase activity	116	2	0.07	0.0019	spleen	both_bsal	up
2	MF	GO:0004740	pyruvate dehydrogenase (acetyl-transferr...	5	1	0	0.0029	spleen	both_bsal	up
3	MF	GO:0008483	transaminase activity	23	1	0.01	0.0133	spleen	both_bsal	up
4	MF	GO:0005109	frizzled binding	36	1	0.02	0.0208	spleen	both_bsal	up
5	MF	GO:0005539	glycosaminoglycan binding	173	2	0.1	0.0224	spleen	both_bsal	up
6	MF	GO:0030170	pyridoxal phosphate binding	41	1	0.02	0.0236	spleen	both_bsal	up
7	MF	GO:0017147	Wnt-protein binding	42	1	0.02	0.0242	spleen	both_bsal	up
8	MF	GO:0001046	core promoter sequence-specific DNA bind...	54	1	0.03	0.031	spleen	both_bsal	up
9	MF	GO:0050840	extracellular matrix binding	54	1	0.03	0.031	spleen	both_bsal	up
10	MF	GO:0005518	collagen binding	55	1	0.03	0.0316	spleen	both_bsal	up
11	MF	GO:0016835	carbon-oxygen lyase activity	62	1	0.04	0.0355	spleen	both_bsal	up
1	BP	GO:0002474	antigen processing and presentation of p...	14	3	0.05	1.50E-05	liver	both_bsaluniq	down
2	BP	GO:0034197	triglyceride transport	5	2	0.02	0.00012	liver	both_bsaluniq	down
3	BP	GO:0051238	sequestering of metal ion	6	2	0.02	0.00018	liver	both_bsaluniq	down
4	BP	GO:0006572	tyrosine catabolic process	8	2	0.03	0.00034	liver	both_bsaluniq	down
5	BP	GO:0006559	L-phenylalanine catabolic process	9	2	0.03	0.00044	liver	both_bsaluniq	down
6	BP	GO:0035507	regulation of myosin-light-chain-phospha...	10	2	0.04	0.00054	liver	both_bsaluniq	down
7	BP	GO:0032733	positive regulation of interleukin-10 pr...	11	2	0.04	0.00066	liver	both_bsaluniq	down
8	BP	GO:0019731	antibacterial humoral response	11	2	0.04	0.00066	liver	both_bsaluniq	down
9	BP	GO:0051607	defense response to virus	173	5	0.61	0.00084	liver	both_bsaluniq	down
10	BP	GO:0034377	plasma lipoprotein particle assembly	17	2	0.06	0.00162	liver	both_bsaluniq	down
11	BP	GO:0051651	maintenance of location in cell	125	3	0.44	0.00177	liver	both_bsaluniq	down
12	BP	GO:0006103	2-oxoglutarate metabolic process	20	2	0.07	0.00224	liver	both_bsaluniq	down
13	BP	GO:0051591	response to cAMP	72	3	0.26	0.00263	liver	both_bsaluniq	down
14	BP	GO:0050829	defense response to Gram-negative bacter...	22	2	0.08	0.00271	liver	both_bsaluniq	down
15	BP	GO:0051301	cell division	652	8	2.31	0.00276	liver	both_bsaluniq	down
16	BP	GO:2000772	regulation of cellular senescence	26	2	0.09	0.00378	liver	both_bsaluniq	down
17	BP	GO:0006536	glutamate metabolic process	29	2	0.1	0.0047	liver	both_bsaluniq	down
18	BP	GO:0009058	biosynthetic process	4809	13	17.03	0.0048	liver	both_bsaluniq	down
19	BP	GO:0050776	regulation of immune response	535	6	1.89	0.00488	liver	both_bsaluniq	down
20	BP	GO:0009306	protein secretion	423	6	1.5	0.00576	liver	both_bsaluniq	down
21	BP	GO:0043124	negative regulation of I-kappaB kinase/N...	35	2	0.12	0.00679	liver	both_bsaluniq	down
22	BP	GO:0032611	interleukin-1 beta production	41	2	0.15	0.00695	liver	both_bsaluniq	down
23	BP	GO:0001666	response to hypoxia	204	4	0.72	0.00844	liver	both_bsaluniq	down
24	BP	GO:0006879	cellular iron ion homeostasis	46	2	0.16	0.01152	liver	both_bsaluniq	down
25	BP	GO:0000086	G2/M transition of mitotic cell cycle	168	3	0.6	0.01222	liver	both_bsaluniq	down
26	BP	GO:0042632	cholesterol homeostasis	51	2	0.18	0.01403	liver	both_bsaluniq	down
27	BP	GO:0006955	immune response	1029	13	3.64	0.01449	liver	both_bsaluniq	down
28	BP	GO:0042742	defense response to bacterium	114	6	0.4	0.01591	liver	both_bsaluniq	down
29	BP	GO:0002759	regulation of antimicrobial humoral resp...	5	1	0.02	0.01759	liver	both_bsaluniq	down
30	BP	GO:0002864	regulation of acute inflammatory respons...	5	1	0.02	0.01759	liver	both_bsaluniq	down
31	BP	GO:0043376	"regulation of CD8-positive, alpha-beta T..."	5	1	0.02	0.01759	liver	both_bsaluniq	down
32	BP	GO:1900264	positive regulation of DNA-directed DNA ...	5	1	0.02	0.01759	liver	both_bsaluniq	down
33	BP	GO:0006177	GMP biosynthetic process	5	1	0.02	0.01759	liver	both_bsaluniq	down
34	BP	GO:0072573	tolerance induction to lipopolysaccharid...	5	1	0.02	0.01759	liver	both_bsaluniq	down
35	BP	GO:0002674	negative regulation of acute inflammator...	5	1	0.02	0.01759	liver	both_bsaluniq	down
36	BP	GO:0032088	negative regulation of NF-kappaB transcr...	60	2	0.21	0.01909	liver	both_bsaluniq	down
37	BP	GO:0007584	response to nutrient	142	3	0.5	0.01917	liver	both_bsaluniq	down
38	BP	GO:0007088	regulation of mitotic nuclear division	181	3	0.64	0.02047	liver	both_bsaluniq	down
39	BP	GO:2001179	regulation of interleukin-10 secretion	6	1	0.02	0.02107	liver	both_bsaluniq	down
40	BP	GO:0060282	positive regulation of oocyte developmen...	6	1	0.02	0.02107	liver	both_bsaluniq	down
41	BP	GO:0090197	positive regulation of chemokine secreti...	6	1	0.02	0.02107	liver	both_bsaluniq	down
42	BP	GO:0006651	diacylglycerol biosynthetic process	6	1	0.02	0.02107	liver	both_bsaluniq	down
43	BP	GO:0061051	positive regulation of cell growth invol...	6	1	0.02	0.02107	liver	both_bsaluniq	down
44	BP	GO:0001878	response to yeast	6	1	0.02	0.02107	liver	both_bsaluniq	down
45	BP	GO:0042532	negative regulation of tyrosine phosphor...	6	1	0.02	0.02107	liver	both_bsaluniq	down
46	BP	GO:0045787	positive regulation of cell cycle	340	5	1.2	0.02168	liver	both_bsaluniq	down
47	BP	GO:0070987	error-free translesion synthesis	7	1	0.02	0.02454	liver	both_bsaluniq	down
48	BP	GO:0061469	regulation of type B pancreatic cell pro...	7	1	0.02	0.02454	liver	both_bsaluniq	down
49	BP	GO:1903431	positive regulation of cell maturation	7	1	0.02	0.02454	liver	both_bsaluniq	down
50	BP	GO:1900193	regulation of oocyte maturation	7	1	0.02	0.02454	liver	both_bsaluniq	down
51	BP	GO:2000484	positive regulation of interleukin-8 sec...	7	1	0.02	0.02454	liver	both_bsaluniq	down
52	BP	GO:0045591	positive regulation of regulatory T cell...	7	1	0.02	0.02454	liver	both_bsaluniq	down
53	BP	GO:0038111	interleukin-7-mediated signaling pathway	7	1	0.02	0.02454	liver	both_bsaluniq	down
54	BP	GO:0050746	regulation of lipoprotein metabolic proc...	7	1	0.02	0.02454	liver	both_bsaluniq	down
55	BP	GO:0060316	positive regulation of ryanodine-sensiti...	7	1	0.02	0.02454	liver	both_bsaluniq	down
56	BP	GO:0071393	cellular response to progesterone stimul...	7	1	0.02	0.02454	liver	both_bsaluniq	down
57	BP	GO:0051014	actin filament severing	7	1	0.02	0.02454	liver	both_bsaluniq	down
58	BP	GO:0042104	positive regulation of activated T cell ...	7	1	0.02	0.02454	liver	both_bsaluniq	down
59	BP	GO:0006919	activation of cysteine-type endopeptidas...	69	2	0.24	0.0248	liver	both_bsaluniq	down
60	BP	GO:0035641	locomotory exploration behavior	8	1	0.03	0.02799	liver	both_bsaluniq	down
61	BP	GO:0044351	macropinocytosis	8	1	0.03	0.02799	liver	both_bsaluniq	down
62	BP	GO:0002579	positive regulation of antigen processin...	8	1	0.03	0.02799	liver	both_bsaluniq	down
63	BP	GO:0006183	GTP biosynthetic process	8	1	0.03	0.02799	liver	both_bsaluniq	down
64	BP	GO:0034136	negative regulation of toll-like recepto...	8	1	0.03	0.02799	liver	both_bsaluniq	down
65	BP	GO:0010992	ubiquitin recycling	8	1	0.03	0.02799	liver	both_bsaluniq	down
66	BP	GO:0000212	meiotic spindle organization	8	1	0.03	0.02799	liver	both_bsaluniq	down
67	BP	GO:1903818	positive regulation of voltage-gated pot...	8	1	0.03	0.02799	liver	both_bsaluniq	down
68	BP	GO:0071347	cellular response to interleukin-1	75	2	0.27	0.02895	liver	both_bsaluniq	down
69	BP	GO:0006979	response to oxidative stress	347	3	1.23	0.02961	liver	both_bsaluniq	down
70	BP	GO:0000079	regulation of cyclin-dependent protein s...	76	2	0.27	0.02966	liver	both_bsaluniq	down
71	BP	GO:0030155	regulation of cell adhesion	599	5	2.12	0.03044	liver	both_bsaluniq	down
72	BP	GO:0099527	postsynapse to nucleus signaling pathway	9	1	0.03	0.03144	liver	both_bsaluniq	down
73	BP	GO:0072203	cell proliferation involved in metanephr...	9	1	0.03	0.03144	liver	both_bsaluniq	down
74	BP	GO:0019541	propionate metabolic process	9	1	0.03	0.03144	liver	both_bsaluniq	down
75	BP	GO:0042976	activation of Janus kinase activity	9	1	0.03	0.03144	liver	both_bsaluniq	down
76	BP	GO:0070561	vitamin D receptor signaling pathway	9	1	0.03	0.03144	liver	both_bsaluniq	down
77	BP	GO:0072307	regulation of metanephric nephron tubule...	9	1	0.03	0.03144	liver	both_bsaluniq	down
78	BP	GO:0032201	telomere maintenance via semi-conservati...	10	1	0.04	0.03487	liver	both_bsaluniq	down
79	BP	GO:0097202	activation of cysteine-type endopeptidas...	10	1	0.04	0.03487	liver	both_bsaluniq	down
80	BP	GO:1900016	negative regulation of cytokine producti...	10	1	0.04	0.03487	liver	both_bsaluniq	down
81	BP	GO:0034144	negative regulation of toll-like recepto...	10	1	0.04	0.03487	liver	both_bsaluniq	down
82	BP	GO:0050832	defense response to fungus	10	1	0.04	0.03487	liver	both_bsaluniq	down
83	BP	GO:0007049	cell cycle	1709	14	6.05	0.03547	liver	both_bsaluniq	down
84	BP	GO:0006468	protein phosphorylation	1532	9	5.43	0.03696	liver	both_bsaluniq	down
85	BP	GO:0015914	phospholipid transport	86	2	0.3	0.03721	liver	both_bsaluniq	down
86	BP	GO:0072075	metanephric mesenchyme development	11	1	0.04	0.03829	liver	both_bsaluniq	down
87	BP	GO:0060045	positive regulation of cardiac muscle ce...	11	1	0.04	0.03829	liver	both_bsaluniq	down
88	BP	GO:0002922	positive regulation of humoral immune re...	11	1	0.04	0.03829	liver	both_bsaluniq	down
89	BP	GO:0002707	negative regulation of lymphocyte mediat...	11	1	0.04	0.03829	liver	both_bsaluniq	down
90	BP	GO:0090185	negative regulation of kidney developmen...	11	1	0.04	0.03829	liver	both_bsaluniq	down
91	BP	GO:0051412	response to corticosterone	11	1	0.04	0.03829	liver	both_bsaluniq	down
92	BP	GO:0032703	negative regulation of interleukin-2 pro...	11	1	0.04	0.03829	liver	both_bsaluniq	down
93	BP	GO:0035458	cellular response to interferon-beta	11	1	0.04	0.03829	liver	both_bsaluniq	down
94	BP	GO:0034375	high-density lipoprotein particle remode...	12	1	0.04	0.0417	liver	both_bsaluniq	down
95	BP	GO:0007100	mitotic centrosome separation	12	1	0.04	0.0417	liver	both_bsaluniq	down
96	BP	GO:0007202	activation of phospholipase C activity	12	1	0.04	0.0417	liver	both_bsaluniq	down
97	BP	GO:0061844	antimicrobial humoral immune response me...	12	1	0.04	0.0417	liver	both_bsaluniq	down
98	BP	GO:0032688	negative regulation of interferon-beta p...	12	1	0.04	0.0417	liver	both_bsaluniq	down
99	BP	GO:0051775	response to redox state	12	1	0.04	0.0417	liver	both_bsaluniq	down
100	BP	GO:0051384	response to glucocorticoid	107	3	0.38	0.04383	liver	both_bsaluniq	down
101	BP	GO:0010458	exit from mitosis	31	2	0.11	0.04427	liver	both_bsaluniq	down
102	BP	GO:0001678	cellular glucose homeostasis	107	2	0.38	0.0445	liver	both_bsaluniq	down
103	BP	GO:0002218	activation of innate immune response	148	2	0.52	0.04463	liver	both_bsaluniq	down
104	BP	GO:0042769	"DNA damage response, detection of DNA da..."	13	1	0.05	0.0451	liver	both_bsaluniq	down
105	BP	GO:0070886	positive regulation of calcineurin-NFAT ...	13	1	0.05	0.0451	liver	both_bsaluniq	down
106	BP	GO:0001773	myeloid dendritic cell activation	13	1	0.05	0.0451	liver	both_bsaluniq	down
107	BP	GO:0034381	plasma lipoprotein particle clearance	13	1	0.05	0.0451	liver	both_bsaluniq	down
108	BP	GO:0010738	regulation of protein kinase A signaling	13	1	0.05	0.0451	liver	both_bsaluniq	down
109	BP	GO:0032620	interleukin-17 production	13	1	0.05	0.0451	liver	both_bsaluniq	down
110	BP	GO:1901796	regulation of signal transduction by p53...	97	2	0.34	0.04625	liver	both_bsaluniq	down
111	BP	GO:0042127	regulation of cell proliferation	1113	12	3.94	0.0464	liver	both_bsaluniq	down
112	BP	GO:0043153	entrainment of circadian clock by photop...	14	1	0.05	0.04848	liver	both_bsaluniq	down
113	BP	GO:0003264	regulation of cardioblast proliferation	14	1	0.05	0.04848	liver	both_bsaluniq	down
114	BP	GO:0043248	proteasome assembly	14	1	0.05	0.04848	liver	both_bsaluniq	down
115	BP	GO:0072112	glomerular visceral epithelial cell diff...	14	1	0.05	0.04848	liver	both_bsaluniq	down
116	BP	GO:0032689	negative regulation of interferon-gamma ...	14	1	0.05	0.04848	liver	both_bsaluniq	down
1	CC	GO:0042612	MHC class I protein complex	5	2	0.02	0.00011	liver	both_bsaluniq	down
2	CC	GO:0005788	endoplasmic reticulum lumen	158	4	0.53	0.00194	liver	both_bsaluniq	down
3	CC	GO:0005576	extracellular region	2151	11	7.23	0.00202	liver	both_bsaluniq	down
4	CC	GO:0005739	mitochondrion	1451	8	4.88	0.00453	liver	both_bsaluniq	down
5	CC	GO:0051233	spindle midzone	33	2	0.11	0.00547	liver	both_bsaluniq	down
6	CC	GO:0000307	cyclin-dependent protein kinase holoenzy...	34	2	0.11	0.0058	liver	both_bsaluniq	down
7	CC	GO:0005876	spindle microtubule	42	2	0.14	0.00876	liver	both_bsaluniq	down
8	CC	GO:0005875	microtubule associated complex	149	3	0.5	0.01371	liver	both_bsaluniq	down
9	CC	GO:0072687	meiotic spindle	5	1	0.02	0.0167	liver	both_bsaluniq	down
10	CC	GO:0043073	germ cell nucleus	5	1	0.02	0.0167	liver	both_bsaluniq	down
11	CC	GO:0014701	junctional sarcoplasmic reticulum membra...	5	1	0.02	0.0167	liver	both_bsaluniq	down
12	CC	GO:0043203	axon hillock	5	1	0.02	0.0167	liver	both_bsaluniq	down
13	CC	GO:0031390	Ctf18 RFC-like complex	6	1	0.02	0.02	liver	both_bsaluniq	down
14	CC	GO:0072559	NLRP3 inflammasome complex	6	1	0.02	0.02	liver	both_bsaluniq	down
15	CC	GO:0031391	Elg1 RFC-like complex	7	1	0.02	0.0233	liver	both_bsaluniq	down
16	CC	GO:0031616	spindle pole centrosome	7	1	0.02	0.0233	liver	both_bsaluniq	down
17	CC	GO:0005663	DNA replication factor C complex	9	1	0.03	0.02986	liver	both_bsaluniq	down
18	CC	GO:0015630	microtubule cytoskeleton	1222	7	4.11	0.03095	liver	both_bsaluniq	down
19	CC	GO:0000780	"condensed nuclear chromosome, centromeri..."	11	1	0.04	0.03637	liver	both_bsaluniq	down
20	CC	GO:0098892	extrinsic component of postsynaptic spec...	13	1	0.04	0.04284	liver	both_bsaluniq	down
1	MF	GO:0008483	transaminase activity	23	2	0.08	0.0025	liver	both_bsaluniq	down
2	MF	GO:0016597	amino acid binding	34	2	0.11	0.0055	liver	both_bsaluniq	down
3	MF	GO:0030170	pyridoxal phosphate binding	41	2	0.13	0.0079	liver	both_bsaluniq	down
4	MF	GO:0016538	cyclin-dependent protein serine/threonin...	41	2	0.13	0.0079	liver	both_bsaluniq	down
5	MF	GO:0035174	histone serine kinase activity	5	1	0.02	0.0163	liver	both_bsaluniq	down
6	MF	GO:0070700	BMP receptor binding	6	1	0.02	0.0195	liver	both_bsaluniq	down
7	MF	GO:0005113	patched binding	7	1	0.02	0.0227	liver	both_bsaluniq	down
8	MF	GO:0008179	adenylate cyclase binding	8	1	0.03	0.0259	liver	both_bsaluniq	down
9	MF	GO:0042287	MHC protein binding	8	1	0.03	0.0259	liver	both_bsaluniq	down
10	MF	GO:0015037	peptide disulfide oxidoreductase activit...	9	1	0.03	0.0291	liver	both_bsaluniq	down
11	MF	GO:0005523	tropomyosin binding	9	1	0.03	0.0291	liver	both_bsaluniq	down
12	MF	GO:0005525	GTP binding	366	4	1.2	0.0312	liver	both_bsaluniq	down
13	MF	GO:0003756	protein disulfide isomerase activity	10	1	0.03	0.0323	liver	both_bsaluniq	down
14	MF	GO:0061608	nuclear import signal receptor activity	10	1	0.03	0.0323	liver	both_bsaluniq	down
15	MF	GO:0043495	protein membrane anchor	10	1	0.03	0.0323	liver	both_bsaluniq	down
16	MF	GO:0005159	insulin-like growth factor receptor bind...	11	1	0.04	0.0354	liver	both_bsaluniq	down
17	MF	GO:0046935	1-phosphatidylinositol-3-kinase regulato...	11	1	0.04	0.0354	liver	both_bsaluniq	down
18	MF	GO:0097153	cysteine-type endopeptidase activity inv...	11	1	0.04	0.0354	liver	both_bsaluniq	down
19	MF	GO:0002039	p53 binding	92	2	0.3	0.0364	liver	both_bsaluniq	down
20	MF	GO:0008970	phospholipase A1 activity	12	1	0.04	0.0386	liver	both_bsaluniq	down
21	MF	GO:0009374	biotin binding	12	1	0.04	0.0386	liver	both_bsaluniq	down
22	MF	GO:0044325	ion channel binding	97	2	0.32	0.0401	liver	both_bsaluniq	down
23	MF	GO:0051082	unfolded protein binding	98	2	0.32	0.0408	liver	both_bsaluniq	down
24	MF	GO:0003916	DNA topoisomerase activity	13	1	0.04	0.0417	liver	both_bsaluniq	down
25	MF	GO:0004806	triglyceride lipase activity	13	1	0.04	0.0417	liver	both_bsaluniq	down
26	MF	GO:0005548	phospholipid transporter activity	103	2	0.34	0.0447	liver	both_bsaluniq	down
27	MF	GO:0043024	ribosomal small subunit binding	15	1	0.05	0.048	liver	both_bsaluniq	down
1	BP	GO:0033540	fatty acid beta-oxidation using acyl-CoA...	13	2	0.04	0.00072	liver	both_bsaluniq	up
2	BP	GO:0030950	establishment or maintenance of actin cy...	17	2	0.05	0.00125	liver	both_bsaluniq	up
3	BP	GO:0006625	protein targeting to peroxisome	46	2	0.14	0.00901	liver	both_bsaluniq	up
4	BP	GO:0035337	fatty-acyl-CoA metabolic process	17	2	0.05	0.00912	liver	both_bsaluniq	up
5	BP	GO:0051084	'de novo' posttranslational protein fold...	28	2	0.09	0.01516	liver	both_bsaluniq	up
6	BP	GO:0036109	alpha-linolenic acid metabolic process	5	1	0.02	0.01549	liver	both_bsaluniq	up
7	BP	GO:0099550	"trans-synaptic signaling, modulating syn..."	5	1	0.02	0.01549	liver	both_bsaluniq	up
8	BP	GO:0099545	trans-synaptic signaling by trans-synapt...	5	1	0.02	0.01549	liver	both_bsaluniq	up
9	BP	GO:0060266	negative regulation of respiratory burst...	5	1	0.02	0.01549	liver	both_bsaluniq	up
10	BP	GO:1902188	positive regulation of viral release fro...	6	1	0.02	0.01856	liver	both_bsaluniq	up
11	BP	GO:0034625	"fatty acid elongation, monounsaturated f..."	6	1	0.02	0.01856	liver	both_bsaluniq	up
12	BP	GO:0034626	"fatty acid elongation, polyunsaturated f..."	6	1	0.02	0.01856	liver	both_bsaluniq	up
13	BP	GO:1905041	regulation of epithelium regeneration	6	1	0.02	0.01856	liver	both_bsaluniq	up
14	BP	GO:0019367	"fatty acid elongation, saturated fatty a..."	6	1	0.02	0.01856	liver	both_bsaluniq	up
15	BP	GO:0006790	sulfur compound metabolic process	265	7	0.83	0.01911	liver	both_bsaluniq	up
16	BP	GO:0014745	negative regulation of muscle adaptation	7	1	0.02	0.02162	liver	both_bsaluniq	up
17	BP	GO:0051694	pointed-end actin filament capping	7	1	0.02	0.02162	liver	both_bsaluniq	up
18	BP	GO:0045591	positive regulation of regulatory T cell...	7	1	0.02	0.02162	liver	both_bsaluniq	up
