gene	GO_ID
comp165364	GO:0005158, GO:0005159, GO:0005634, GO:0005737, GO:0008286, GO:0042169, GO:0043231, GO:0043548, GO:0048009
comp1656319	GO:0000981, GO:0003677, GO:0005634, GO:0007275, GO:0007283, GO:0030154, GO:0046872
comp165644	GO:0005680, GO:0007049, GO:0019903, GO:0051301, GO:0070979
comp165668	GO:0001726, GO:0001886, GO:0005085, GO:0005089, GO:0005829, GO:0007186, GO:0035023, GO:0043065, GO:0051056, GO:0097178
comp165691	GO:0004642, GO:0005524, GO:0005737, GO:0005829, GO:0006189, GO:0006541, GO:0009168, GO:0042493, GO:0046872, GO:0070062, GO:0097065
comp165748	GO:0005096, GO:0005634, GO:0005737, GO:0005829, GO:0005886, GO:0032484, GO:0032880, GO:0046982, GO:0051056, GO:0060178, GO:0090630
comp165778	GO:0000981, GO:0001223, GO:0005634, GO:0005654, GO:0005737, GO:0005829, GO:0007050, GO:0008134, GO:0008285, GO:0015630, GO:0043565, GO:0045944, GO:0046872
comp165829	GO:0000790, GO:0001825, GO:0003682, GO:0005634, GO:0005654, GO:0005721, GO:0006338, GO:0006357, GO:0008270, GO:0008284, GO:0010628, GO:0019899, GO:0032452, GO:0032454, GO:0033169, GO:0035097, GO:0045666, GO:0050681, GO:0051864, GO:0070544, GO:1900113, GO:2000036, GO:2000736
comp165878	GO:0005789, GO:0005886, GO:0015485, GO:0016021, GO:0071397, GO:0120020, GO:0140268
comp165901	GO:0001822, GO:0001942, GO:0005509, GO:0005886, GO:0006897, GO:0009953, GO:0009954, GO:0009986, GO:0014069, GO:0016021, GO:0016055, GO:0030279, GO:0030425, GO:0030509, GO:0030971, GO:0031594, GO:0034185, GO:0042475, GO:0042733, GO:0042803, GO:0043025, GO:0044853, GO:0048813, GO:0050731, GO:0050771, GO:0050808, GO:0051124, GO:0051290, GO:0060173, GO:0071340, GO:0090090, GO:0097060, GO:0097104, GO:0097105, GO:0097110, GO:0150094, GO:1901631, GO:1904395
comp165991	GO:0000184, GO:0003723, GO:0005829, GO:0006446, GO:0008494, GO:0048471
comp1661449	GO:0005524, GO:0005886, GO:0016021, GO:0017127, GO:0033344, GO:0042626, GO:0042803, GO:0046982, GO:0055085, GO:1990830
comp166154	GO:0003713, GO:0005634, GO:0035065, GO:0051145, GO:0055007, GO:2000727
comp1661627	GO:0002088, GO:0003406, GO:0005737, GO:0005929, GO:0007368, GO:0007507, GO:0042733, GO:0060271, GO:0060831, GO:0061512, GO:1905515
comp166245	GO:0005759, GO:0006631, GO:0006974, GO:0010883, GO:0046872, GO:0051213, GO:1902445
comp166342	GO:0001501, GO:0004222, GO:0005783, GO:0005794, GO:0005886, GO:0005887, GO:0006464, GO:0006508, GO:0007267, GO:0008270, GO:0019637, GO:0030282, GO:0030324, GO:0048471, GO:0060348, GO:0060416, GO:0071305, GO:0071374, GO:1904383, GO:1990418
comp166355	GO:0004021, GO:0006103, GO:0009058, GO:0030170, GO:0042851, GO:0042853
comp166375	GO:0005576, GO:0005783, GO:0005789, GO:0005886, GO:0006801, GO:0006954, GO:0006955, GO:0007179, GO:0009986, GO:0014005, GO:0016021, GO:0019838, GO:0035583, GO:0036364
comp1664209	GO:0003723, GO:0005576
comp1664257	GO:0005509, GO:0005887, GO:0007155, GO:0007156, GO:0007420
comp1664260	GO:0000022, GO:0000922, GO:0001578, GO:0005634, GO:0005819, GO:0005829, GO:0005876, GO:0008017, GO:0008284, GO:0019894, GO:0019901, GO:0030496, GO:0032465, GO:0042802, GO:0051301, GO:0070938
comp1664391	GO:0007218, GO:0008188, GO:0016020, GO:0016021
comp166447	GO:0005085, GO:0005737, GO:0005886, GO:0007264
comp166488	GO:0005247, GO:0005524, GO:0005768, GO:0005769, GO:0005789, GO:0005794, GO:0005886, GO:0005887, GO:0006821, GO:0015297, GO:0015299, GO:0031404, GO:0031901, GO:0031902
comp166497	GO:0000139, GO:0005829, GO:0006886, GO:0016020, GO:0016021, GO:0017112, GO:0017137, GO:0032588, GO:0032991, GO:0034066, GO:0042147, GO:0043547, GO:1903363
comp1665051	GO:0005765, GO:0005777, GO:0007417, GO:0009791, GO:0021540, GO:0031667, GO:0034198, GO:0042149, GO:0043473, GO:0061462, GO:0061700, GO:0140007, GO:1901668, GO:1904262, GO:1990130
comp166525	GO:0001530, GO:0003723, GO:0003725, GO:0004525, GO:0005634, GO:0005654, GO:0005730, GO:0006396, GO:0010586, GO:0010628, GO:0014069, GO:0016075, GO:0017151, GO:0030422, GO:0031053, GO:0031054, GO:0042254, GO:0042803, GO:0045589, GO:0046332, GO:0046872, GO:0050727, GO:0050829, GO:0050830, GO:0070412, GO:0070877, GO:0070878, GO:2000628
comp1665441	
comp166552	GO:0005789, GO:0005813, GO:0010826, GO:0016021, GO:0030433, GO:0030659, GO:0031005, GO:0035869, GO:0036038, GO:0051082, GO:0060170, GO:0060271, GO:0097711
comp166597	GO:0000777, GO:0005634, GO:0006355, GO:0007049, GO:0034080, GO:0051301
comp1665999	GO:0005525, GO:0005789, GO:0007224, GO:0007275, GO:0008374, GO:0016021, GO:0016409, GO:0018345
comp166656	GO:0003824, GO:0004303, GO:0004745, GO:0005622, GO:0005783, GO:0006702, GO:0006710, GO:0009055, GO:0016491, GO:0031901, GO:0047035
comp166771	GO:0001530, GO:0005581, GO:0005615, GO:0005771, GO:0005791, GO:0007585, GO:0032502, GO:0043129, GO:0045087, GO:0048029, GO:0048286, GO:0050766
comp166826	GO:0005576, GO:0005581, GO:0007155, GO:0030020, GO:0031012, GO:0062023
comp1668582	GO:0000122, GO:0000978, GO:0000980, GO:0000981, GO:0001227, GO:0001658, GO:0005634, GO:0005654, GO:0005730, GO:0005737, GO:0043565, GO:0045892, GO:0046872
comp166861	GO:0000086, GO:0000151, GO:0000209, GO:0000278, GO:0004842, GO:0005813, GO:0005829, GO:0006511, GO:0008283, GO:0010265, GO:0010972, GO:0016567, GO:0019005, GO:0031146, GO:0043687, GO:0051301
comp1668625	GO:0001750, GO:0005813, GO:0005929, GO:0005930, GO:0007368, GO:0007507, GO:0008589, GO:0021532, GO:0030991, GO:0031076, GO:0032391, GO:0035721, GO:0035735, GO:0035845, GO:0036064, GO:0042733, GO:0048701, GO:0048705, GO:0060041, GO:0060271, GO:0061512, GO:0072001, GO:0097542, GO:1902017, GO:1905515, GO:1990403
comp166872	NA
comp166879	GO:0001917, GO:0005737, GO:0005764, GO:0005765, GO:0005794, GO:0006914, GO:0006915, GO:0007601, GO:0010506, GO:0016021, GO:0016324, GO:0043231, GO:0045494
comp1669261	GO:0004930, GO:0005886, GO:0005887, GO:0009986, GO:0019722, GO:0038023, GO:0043200
comp1669513	GO:0003143, GO:0005509, GO:0005634, GO:0007368, GO:0010468, GO:0016021, GO:0030326, GO:0030509, GO:0035108, GO:0042074, GO:0045879, GO:0048704, GO:0048842, GO:0055113, GO:0060971, GO:0060972, GO:0060976, GO:0061371, GO:0071907, GO:0097094, GO:0097155
comp166956	GO:0005158, GO:0005159, GO:0005634, GO:0005737, GO:0008286, GO:0042169, GO:0043231, GO:0043548, GO:0048009
comp1669713	GO:0005576, GO:0005581, GO:0007155, GO:0030020, GO:0030198, GO:0031012, GO:0032991, GO:0062023, GO:0070208
comp166973	GO:0000781, GO:0005654, GO:0005737, GO:0006281, GO:0006310, GO:0030915, GO:0031398, GO:0034644, GO:0040008, GO:0046983, GO:0071478, GO:0072711
comp167011	GO:0005506, GO:0005789, GO:0006707, GO:0006805, GO:0016021, GO:0020037, GO:0031090, GO:0033781
comp167183	GO:0000138, GO:0000139, GO:0005484, GO:0005789, GO:0006888, GO:0015031, GO:0016020, GO:0030133, GO:0030173, GO:0031201, GO:0033116, GO:0048208, GO:0048280
comp1672120	GO:0001837, GO:0001968, GO:0004720, GO:0005044, GO:0005507, GO:0005576, GO:0005615, GO:0005634, GO:0005737, GO:0006954, GO:0016020, GO:0018057, GO:0021510, GO:0030199, GO:0030324, GO:0045892, GO:0060021, GO:0061053, GO:1905590, GO:2000329, GO:2001046
comp167221	GO:0001726, GO:0005540, GO:0005925, GO:0009986, GO:0016021, GO:0030246
comp1672856	GO:0016021
comp167326	GO:0001164, GO:0001650
comp1673279	GO:0005216, GO:0005262, GO:0005516, GO:0005886, GO:0005887, GO:0006816, GO:0016021, GO:0035898, GO:0042802, GO:0046872, GO:0051289, GO:0051592, GO:0055074, GO:0070509, GO:0070588, GO:0098703
comp16737	GO:0005085, GO:0005089, GO:0005615, GO:0005737, GO:0005829, GO:0005886, GO:0007186, GO:0012505, GO:0031234, GO:0035023, GO:0035025, GO:0035091, GO:0035556, GO:0043065, GO:0051056
comp167500	GO:0005737, GO:0005929, GO:0007010, GO:0031514, GO:0044458, GO:0060271, GO:0060294
comp1675128	GO:0001917, GO:0004722, GO:0005634, GO:0005737, GO:0005829, GO:0006470, GO:0021766, GO:0042622, GO:0046872
comp167552	GO:0005794, GO:0005829, GO:0007517, GO:0016607, GO:0030154, GO:0045296, GO:0048471, GO:0051879, GO:0061077
comp167584	GO:0000122, GO:0000976, GO:0001222, GO:0005634, GO:0005737, GO:0007623, GO:0008134, GO:0009416, GO:0019900, GO:0031625, GO:0032922, GO:0043153, GO:0045187, GO:0050821
comp167587	GO:0000981, GO:0003677, GO:0005654, GO:0005829, GO:0046872
comp167639	
comp1676488	GO:0003774, GO:0016459
comp1676654	GO:0000139, GO:0016021, GO:0030017
comp1677683	GO:0001502, GO:0001503, GO:0002063, GO:0005201, GO:0005576, GO:0005592, GO:0005615, GO:0005788, GO:0006029, GO:0007601, GO:0007605, GO:0008201, GO:0030020, GO:0030198, GO:0030199, GO:0030674, GO:0031012, GO:0035987, GO:0035989, GO:0042472, GO:0046872, GO:0048704, GO:0050840, GO:0050910, GO:0055010, GO:0062023, GO:1904399
comp167771	GO:0005737
comp167787	GO:0005783, GO:0005789, GO:0016021, GO:0016125, GO:0047750
comp167863	GO:0005096, GO:0005509, GO:0005623, GO:0006886, GO:0017137, GO:0090630
comp167893	GO:0004222, GO:0005509, GO:0005576, GO:0007275, GO:0008270, GO:0030154
comp167902	GO:0005737, GO:0005815
comp167928	GO:0031514
comp1680017	GO:0001649, GO:0004888, GO:0005518, GO:0005925, GO:0006897, GO:0016020, GO:0016021, GO:0030246, GO:0030574
comp168041	GO:0000794, GO:0002020, GO:0002576, GO:0003300, GO:0004674, GO:0004713, GO:0005509, GO:0005516, GO:0005524, GO:0005576, GO:0005829, GO:0005865, GO:0006936, GO:0006941, GO:0007076, GO:0008307, GO:0010628, GO:0010737, GO:0019899, GO:0019901, GO:0030017, GO:0030018, GO:0030049, GO:0030240, GO:0030241, GO:0031430, GO:0031433, GO:0031674, GO:0035995, GO:0042802, GO:0042805, GO:0043621, GO:0045214, GO:0045859, GO:0048739, GO:0048769, GO:0050714, GO:0050790, GO:0051015, GO:0051371, GO:0051592, GO:0055003, GO:0055008, GO:0060048, GO:0070062, GO:0071688, GO:0097493
comp168122	GO:0001578, GO:0003353, GO:0005524, GO:0005737, GO:0005874, GO:0015631, GO:0018095, GO:0036064, GO:0051013, GO:0070739
comp168292	GO:0006396, GO:0016246, GO:0031048
comp1682995	GO:0005886, GO:0016021, GO:0016055, GO:0090090
comp1683014	GO:0005509, GO:0016021, GO:0030246, GO:0098609
comp168343	GO:0004553, GO:0005975, GO:0016021
comp168401	GO:0000077, GO:0005634, GO:0005657, GO:0006260, GO:0007095, GO:0007275, GO:0030894, GO:0033260, GO:0048478, GO:0051301
comp168460	GO:0000123, GO:0000786, GO:0000790, GO:0003677, GO:0004402, GO:0005634, GO:0006334, GO:0008134, GO:0010485, GO:0016407, GO:0016573, GO:0042393, GO:0043966, GO:0044877, GO:0045892, GO:0045893, GO:0045944, GO:0046872, GO:0070776, GO:1990830
comp168679	GO:0000122, GO:0000977, GO:0000978, GO:0001228, GO:0001666, GO:0001764, GO:0001975, GO:0003707, GO:0004879, GO:0005634, GO:0005667, GO:0005737, GO:0006351, GO:0008270, GO:0008344, GO:0009791, GO:0016607, GO:0021952, GO:0021953, GO:0021986, GO:0031668, GO:0034599, GO:0035259, GO:0042053, GO:0042416, GO:0042551, GO:0043085, GO:0043524, GO:0043565, GO:0043576, GO:0045444, GO:0045944, GO:0046982, GO:0051866, GO:0071376, GO:0071542, GO:2001234
comp168682	GO:0000151, GO:0000209, GO:0005737, GO:0006511, GO:0031624, GO:0032436, GO:0046872, GO:0061630
comp168731	GO:0000139, GO:0005338, GO:0005461, GO:0005462, GO:0005463, GO:0005794, GO:0006024, GO:0008643, GO:0015165, GO:0015297, GO:0016021, GO:0018146, GO:0022857
comp168769	GO:0016787, GO:0046872
comp1688043	GO:0000400, GO:0000722, GO:0000723, GO:0000724, GO:0000781, GO:0000784, GO:0003697, GO:0005524, GO:0005634, GO:0005657, GO:0005737, GO:0005813, GO:0006289, GO:0006974, GO:0008094, GO:0033063, GO:0036297, GO:0042148, GO:0043015, GO:0051276, GO:0051726
comp168923	GO:0005524, GO:0005737, GO:0006468, GO:0008887
comp168925	GO:0005737, GO:0009966, GO:0014069, GO:0042802, GO:0043005, GO:0043025, GO:0045211, GO:0098978, GO:0099147, GO:0099173
comp168935	GO:0005102, GO:0005634, GO:0005737, GO:0005739, GO:0005769, GO:0005938, GO:0006357, GO:0006493, GO:0006605, GO:0008089, GO:0008104, GO:0008333, GO:0017022, GO:0022008, GO:0030425, GO:0030911, GO:0031410, GO:0031966, GO:0032839, GO:0044295, GO:0047496, GO:0048311, GO:0048471, GO:0048813, GO:0050772, GO:0050811, GO:0098957, GO:1904115
comp169018	GO:0000978, GO:0000981, GO:0001228, GO:0001816, GO:0003682, GO:0003700, GO:0005634, GO:0005654, GO:0005667, GO:0005829, GO:0006366, GO:0006970, GO:0007165, GO:0007588, GO:0008134, GO:0033173, GO:0044798, GO:0045944, GO:0070884, GO:0071345, GO:1901224, GO:1904996
comp1691723	GO:0000794, GO:0002020, GO:0002576, GO:0003300, GO:0004674, GO:0004713, GO:0005509, GO:0005516, GO:0005524, GO:0005576, GO:0005829, GO:0005865, GO:0006936, GO:0006941, GO:0007076, GO:0008307, GO:0010628, GO:0010737, GO:0019899, GO:0019901, GO:0030017, GO:0030018, GO:0030049, GO:0030240, GO:0030241, GO:0031430, GO:0031433, GO:0031674, GO:0035995, GO:0042802, GO:0042805, GO:0043621, GO:0045214, GO:0045859, GO:0048739, GO:0048769, GO:0050714, GO:0050790, GO:0051015, GO:0051371, GO:0051592, GO:0055003, GO:0055008, GO:0060048, GO:0070062, GO:0071688, GO:0097493
comp169185	GO:0005886, GO:0007155, GO:0016021
comp1691918	GO:0000139, GO:0004653, GO:0005794, GO:0006486, GO:0016021, GO:0030246, GO:0046872
comp169254	GO:0001658, GO:0001738, GO:0001755, GO:0001942, GO:0005178, GO:0005201, GO:0005576, GO:0005604, GO:0005610, GO:0005615, GO:0007229, GO:0007517, GO:0009887, GO:0016331, GO:0016477, GO:0030155, GO:0030324, GO:0030334, GO:0031012, GO:0031594, GO:0034446, GO:0042127, GO:0042475, GO:0043083, GO:0043259, GO:0045995, GO:0048754, GO:0060271, GO:0060445, GO:0062023, GO:0072659
comp1692715	GO:0000045, GO:0000422, GO:0000423, GO:0005737, GO:0005739, GO:0005776, GO:0005829, GO:0005930, GO:0006914, GO:0008285, GO:0009267, GO:0010508, GO:0010667, GO:0021915, GO:0030154, GO:0031625, GO:0043524, GO:0043552, GO:0045335, GO:0051020, GO:0098780
comp1692985	GO:0000701, GO:0005634, GO:0005654, GO:0005739, GO:0006281, GO:0006284, GO:0006298, GO:0019104, GO:0032357, GO:0032407, GO:0034039, GO:0035485, GO:0045007, GO:0046872, GO:0051539
comp169315	GO:0003723, GO:0005654, GO:0006397, GO:0007275, GO:0008380, GO:0016607, GO:0036396, GO:0046872, GO:0080009, GO:2000036
comp1693626	GO:0005085, GO:0005089, GO:0005615, GO:0005737, GO:0005829, GO:0005886, GO:0007186, GO:0012505, GO:0031234, GO:0035023, GO:0035025, GO:0035091, GO:0035556, GO:0043065, GO:0051056
comp1693711	GO:0005604, GO:0007155
comp1694489	GO:0005634, GO:0007165, GO:0008081, GO:0016042
comp169463	GO:0004040, GO:0005524, GO:0005739, GO:0030956, GO:0032543, GO:0050567, GO:0070681
comp169538	GO:0000209, GO:0008022, GO:0010595, GO:0016020, GO:0019901, GO:0031435, GO:0031666, GO:0032947, GO:0032991, GO:0043507, GO:0045766, GO:1900044, GO:1900745, GO:1901224, GO:1902498
comp1695696	GO:0005813, GO:0005814, GO:0005815, GO:0005829, GO:0007099, GO:0051298, GO:0098536
comp169574	GO:0000139, GO:0004222, GO:0008168, GO:0016021, GO:0016486, GO:0030658, GO:0046872
comp1696306	GO:0000077, GO:0000723, GO:0003677, GO:0004672, GO:0004674, GO:0005524, GO:0005634, GO:0005654, GO:0005694, GO:0005794, GO:0006260, GO:0006281, GO:0006974, GO:0007275, GO:0008156, GO:0016605, GO:0018105, GO:0032212, GO:0032405, GO:0032407, GO:0034644, GO:0036297, GO:0042493, GO:0043517, GO:0046777, GO:0070198, GO:0071480, GO:0090399, GO:0097694, GO:0097695, GO:1900034, GO:1904884
comp169821	GO:0003996, GO:0004321, GO:0005524, GO:0005739, GO:0005759, GO:0006633, GO:0006637, GO:0015645, GO:0046872, GO:0047760
comp1698447	GO:0016021
comp169845	GO:0005737, GO:0008333, GO:0017112, GO:0044257
comp169848	GO:0002162, GO:0003779, GO:0005737, GO:0005856, GO:0008270, GO:0030054, GO:0042383, GO:0045211
comp169926	GO:0005783, GO:0016021, GO:0043462, GO:0045600, GO:0045668, GO:0045672, GO:0045780, GO:0051480, GO:0090090
comp1699447	GO:0000794, GO:0002020, GO:0002576, GO:0003300, GO:0004674, GO:0004713, GO:0005509, GO:0005516, GO:0005524, GO:0005576, GO:0005829, GO:0005865, GO:0006936, GO:0006941, GO:0007076, GO:0008307, GO:0010628, GO:0010737, GO:0019899, GO:0019901, GO:0030017, GO:0030018, GO:0030049, GO:0030240, GO:0030241, GO:0031430, GO:0031433, GO:0031674, GO:0035995, GO:0042802, GO:0042805, GO:0043621, GO:0045214, GO:0045859, GO:0048739, GO:0048769, GO:0050714, GO:0050790, GO:0051015, GO:0051371, GO:0051592, GO:0055003, GO:0055008, GO:0060048, GO:0070062, GO:0071688, GO:0097493
comp170072	GO:0000226, GO:0000287, GO:0004674, GO:0005524, GO:0005737, GO:0006468, GO:0035556, GO:0050321
comp170074	GO:0004435, GO:0005509, GO:0016042, GO:0032959, GO:0035556
comp170133	GO:0000151, GO:0000729, GO:0001894, GO:0003723, GO:0004842, GO:0005634, GO:0005654, GO:0005737, GO:0006260, GO:0006303, GO:0006974, GO:0007050, GO:0016567, GO:0016579, GO:0016607, GO:0019900, GO:0031436, GO:0031441, GO:0036464, GO:0042325, GO:0042803, GO:0043065, GO:0043066, GO:0045732, GO:0046826, GO:0046872, GO:0046982, GO:0070531, GO:0085020
comp170255	GO:0005737, GO:0005856, GO:0006935, GO:0007155, GO:0007162, GO:0007605, GO:0016324, GO:0030175, GO:0032420, GO:0035024, GO:0045663, GO:0048741, GO:0051491, GO:0060171, GO:0071889, GO:0090023, GO:1901741, GO:1903904, GO:1905872, GO:1990869, GO:2000114, GO:2000391, GO:2000405, GO:2001107
comp170281	GO:0004842, GO:0005764, GO:0005765, GO:0006915, GO:0010508, GO:0031267, GO:0031301, GO:0034198, GO:0046872, GO:0061630, GO:0070534, GO:0070936, GO:1904262
comp170289	GO:0000794, GO:0002020, GO:0002576, GO:0003300, GO:0004674, GO:0004713, GO:0005509, GO:0005516, GO:0005524, GO:0005576, GO:0005829, GO:0005865, GO:0006936, GO:0006941, GO:0007076, GO:0008307, GO:0010628, GO:0010737, GO:0019899, GO:0019901, GO:0030017, GO:0030018, GO:0030049, GO:0030240, GO:0030241, GO:0031430, GO:0031433, GO:0031674, GO:0035995, GO:0042802, GO:0042805, GO:0043621, GO:0045214, GO:0045859, GO:0048739, GO:0048769, GO:0050714, GO:0050790, GO:0051015, GO:0051371, GO:0051592, GO:0055003, GO:0055008, GO:0060048, GO:0070062, GO:0071688, GO:0097493
comp1703209	GO:0001932, GO:0001975, GO:0003006, GO:0003779, GO:0004672, GO:0004864, GO:0005634, GO:0005737, GO:0005886, GO:0005912, GO:0007015, GO:0007568, GO:0007612, GO:0008022, GO:0008157, GO:0010243, GO:0014069, GO:0014070, GO:0015629, GO:0016358, GO:0016477, GO:0019722, GO:0019900, GO:0021766, GO:0021987, GO:0030027, GO:0030042, GO:0030175, GO:0030425, GO:0030426, GO:0030864, GO:0031175, GO:0031749, GO:0032355, GO:0032515, GO:0032587, GO:0032591, GO:0034695, GO:0035094, GO:0035690, GO:0035902, GO:0042127, GO:0042493, GO:0043005, GO:0043025, GO:0043197, GO:0043200, GO:0044325, GO:0044326, GO:0044327, GO:0044877, GO:0046847, GO:0048545, GO:0050804, GO:0051015, GO:0060179, GO:0061458, GO:0071315, GO:0071364, GO:0071392, GO:0071407, GO:0097338, GO:1901653, GO:1903078, GO:1903119, GO:1903829, GO:1904372, GO:1904373, GO:1904386, GO:1990778, GO:1990780, GO:2000474
comp170426	GO:0004175, GO:0004252, GO:0005739, GO:0005783, GO:0005789, GO:0006915, GO:0008233, GO:0010954, GO:0030176, GO:0031293, GO:0033619, GO:0034620, GO:0034644, GO:0036503, GO:0043066, GO:0043687, GO:0044322, GO:0045732, GO:0048515, GO:0051047, GO:1904211
comp1705190	GO:0016021
comp1705852	GO:0002028, GO:0004674, GO:0005524, GO:0005640, GO:0005789, GO:0005829, GO:0005886, GO:0006468, GO:0006874, GO:0006998, GO:0008016, GO:0010657, GO:0010830, GO:0014722, GO:0014853, GO:0017020, GO:0018105, GO:0031072, GO:0031307, GO:0031965, GO:0033017, GO:0035556, GO:0046872, GO:0051823, GO:1903779
comp170618	GO:0003677, GO:0005634, GO:0005654, GO:0007275, GO:0008270, GO:0031519, GO:0035102, GO:0070317
comp1706702	GO:0005242, GO:0006813, GO:0016021, GO:0016323, GO:0034765, GO:1990573
comp170756	GO:0072669
comp170765	GO:0005739, GO:0005743, GO:0006089, GO:0015095, GO:0015693, GO:0016021, GO:0045016, GO:0055085
comp170782	GO:0000139, GO:0004674, GO:0005524, GO:0005789, GO:0007049, GO:0010923, GO:0046872
comp1708222	GO:0000086, GO:0005654, GO:0005739, GO:0005813, GO:0005829, GO:0005874, GO:0007098, GO:0010389, GO:0015630, GO:0045171, GO:0051225, GO:0051301, GO:0070652, GO:0072686, GO:0097711
comp1709124	GO:0005249, GO:0005251, GO:0005886, GO:0006813, GO:0008076, GO:0016021, GO:0030425, GO:0032809, GO:0034765, GO:0043025, GO:0043204, GO:0046982, GO:0051260, GO:0071805, GO:0072659
comp1709128	GO:0000724, GO:0001756, GO:0001833, GO:0003677, GO:0005654, GO:0007498, GO:0009887, GO:0035264, GO:0036342, GO:0043066, GO:0048568
comp1709860	GO:0001867, GO:0003429, GO:0005509, GO:0005537, GO:0005576, GO:0005581, GO:0005615, GO:0005788, GO:0031012
comp171132	GO:0007165, GO:0034334
comp1711509	GO:0005509, GO:0016021, GO:0042803, GO:0045598, GO:0045746
comp1711572	GO:0004703, GO:0005524, GO:0005886, GO:0007186, GO:0008277, GO:0016020, GO:0016055, GO:0047696
comp1711603	GO:0008643, GO:0016021, GO:0022857
comp171164	GO:0003924, GO:0005525, GO:0005634, GO:0006886, GO:0032482
comp1712135	GO:0005452, GO:0015301, GO:0016021
comp1712499	GO:0005654, GO:0005829, GO:0030054, GO:0030424, GO:0030425, GO:0043231, GO:0055038, GO:0072562, GO:0098837, GO:0098887, GO:0098978, GO:0098998, GO:0099152, GO:0099158, GO:1905244
comp1712861	GO:0005737, GO:0005813, GO:0005929, GO:0008017, GO:0030992, GO:0031113, GO:0042073, GO:0043010, GO:0048793, GO:0060271, GO:0070507
comp1714015	GO:0000187, GO:0001525, GO:0005518, GO:0005886, GO:0006954, GO:0007169, GO:0008283, GO:0008347, GO:0009986, GO:0010977, GO:0016021, GO:0016322, GO:0016324, GO:0019901, GO:0031258, GO:0035556, GO:0042995, GO:0048771, GO:0050731, GO:0062023
comp171449	GO:0003677, GO:0005634, GO:0006298, GO:0006310, GO:0017108, GO:0035312, GO:0045145, GO:0046872, GO:0048256
comp171453	GO:0005737, GO:0006302, GO:0006310, GO:0031011, GO:0070914
comp171506	NA
comp171517	GO:0000122, GO:0000245, GO:0000398, GO:0000978, GO:0001227, GO:0005634, GO:0005654, GO:0005730, GO:0005829, GO:0006355, GO:0045892, GO:0071008
comp171531	GO:0005635, GO:0005829, GO:0005887, GO:0006606, GO:0008536, GO:0008565, GO:0042626
comp171561	GO:0005089, GO:0005737, GO:0005886, GO:0008289, GO:0019898, GO:0035025, GO:0035556
comp1716180	GO:0000139, GO:0004559, GO:0004572, GO:0006013, GO:0006486, GO:0006491, GO:0006517, GO:0016021, GO:0016799, GO:0030246, GO:0046872
comp171622	GO:0004725, GO:0005001, GO:0005887, GO:0007169, GO:0007420, GO:0010633, GO:0010977, GO:0042802, GO:0070062
comp171659	GO:0005506, GO:0005783, GO:0019797, GO:0031418, GO:0032963, GO:0032991, GO:0050708, GO:0050821, GO:0060348, GO:0061077, GO:1901874, GO:1904027
comp1717285	GO:0000122, GO:0000976, GO:0000981, GO:0001701, GO:0005634, GO:0045892, GO:0046872, GO:0060669
comp171747	GO:0004888, GO:0005634, GO:0005654, GO:0015629, GO:0016180, GO:0032039, GO:0034472, GO:0042795
comp171837	GO:0002042, GO:0005201, GO:0005604, GO:0005615, GO:0010811, GO:0030948, GO:0031012, GO:0062023, GO:0090051
comp1718764	GO:0005524, GO:0005829, GO:0005874, GO:0005929, GO:0018095, GO:0051013, GO:0070740
comp1718999	GO:0000049, GO:0002127, GO:0005739, GO:0005759, GO:0005762, GO:0008168, GO:0016428, GO:0031167, GO:0070129
comp1719255	GO:0003824
comp171953	GO:0001764, GO:0005096, GO:0010975, GO:0030426, GO:0046872
comp1723794	GO:0000122, GO:0000139, GO:0000301, GO:0000977, GO:0004713, GO:0005634, GO:0005654, GO:0005794, GO:0005829, GO:0006357, GO:0007275, GO:0030674, GO:0043565, GO:0048193, GO:0050775
comp172390	GO:0000122, GO:0005102, GO:0005615, GO:0005886, GO:0006879, GO:0009986, GO:0015026, GO:0016540, GO:0030509, GO:0030514, GO:0031225, GO:0032924, GO:0036122, GO:0045944, GO:0055072, GO:0070724, GO:0071773, GO:0098797, GO:1990459, GO:1990712
comp1723987	GO:0000165, GO:0005085, GO:0005088, GO:0005096, GO:0005509, GO:0005886, GO:0005887, GO:0007264, GO:0007265, GO:0019900, GO:0019992, GO:0032045, GO:0048471
comp1725009	GO:0005881, GO:0015630
comp1725106	GO:0000978, GO:0001843, GO:0003700, GO:0005634, GO:0005737, GO:0006357, GO:0060271
comp172609	
comp1729616	GO:0005216, GO:0005516, GO:0005790, GO:0005886, GO:0006811, GO:0006813, GO:0016021, GO:0016286, GO:0030018, GO:0030315, GO:0042383, GO:0043005, GO:0043025, GO:0043197, GO:0048168, GO:0071805, GO:0098914
comp1730792	GO:0004519, GO:0046872
comp173080	GO:0000139, GO:0005794, GO:0015012, GO:0016021, GO:0016857, GO:0030210, GO:0047464
comp1731143	GO:0005086, GO:0010923, GO:0016021, GO:0030658, GO:0032012
comp1731975	GO:0004674, GO:0004699, GO:0005524, GO:0005829, GO:0005886, GO:0005911, GO:0006468, GO:0010744, GO:0016020, GO:0017160, GO:0018105, GO:0034351, GO:0035556, GO:0045618, GO:0046872, GO:0050861, GO:0051092, GO:0060252, GO:0070528, GO:2000810
comp1732116	GO:0005096, GO:0005737, GO:0007266, GO:0016477, GO:0017048, GO:0030336, GO:0048365
